rxn_id,reaction
26,O[C:1](=[O:2])[c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][n:9][cH:10][n:11]2)[n:12][cH:13]1.[NH2:14][c:15]1[cH:16][cH:17][c:18]([Cl:19])[c:20](-[c:21]2[cH:22][cH:23][cH:24][cH:25][n:26]2)[cH:27]1>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][c:6](-[n:7]2[cH:8][n:9][cH:10][n:11]2)[n:12][cH:13]1)[NH:14][c:15]1[cH:16][cH:17][c:18]([Cl:19])[c:20](-[c:21]2[cH:22][cH:23][cH:24][cH:25][n:26]2)[cH:27]1
27,[CH2:1]=[CH:2][C:3]([CH3:4])=[O:5].[CH2:6]=[C:7]1[C:8](=[CH2:9])[CH:10]2[O:11][CH:12]1[C:13](=[CH2:14])[C:15]2=[CH2:16]>>[CH2:1]1[CH:2]([C:3]([CH3:4])=[O:5])[CH2:6][C:7]2=[C:8]([CH2:9]1)[CH:10]1[O:11][CH:12]2[C:13](=[CH2:14])[C:15]1=[CH2:16]
28,O=[CH:1][CH2:2][c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][cH:9]1.c1ccc(P(c2ccccc2)(c2ccccc2)=[CH:10][C:11]([O:12][CH2:13][CH3:14])=[O:15])cc1>>[CH:1]([CH2:2][c:3]1[cH:4][cH:5][c:6]([Br:7])[cH:8][cH:9]1)=[CH:10][C:11]([O:12][CH2:13][CH3:14])=[O:15]
30,O=[CH2:1].[Cl:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[CH2:9][NH:10][CH2:11][c:12]1[n:13][n:14][c:15]([Br:16])[n:17]1-2>>[CH3:1][N:10]1[CH2:9][c:7]2[c:6]([cH:5][cH:4][c:3]([Cl:2])[cH:8]2)-[n:17]2[c:12]([n:13][n:14][c:15]2[Br:16])[CH2:11]1
31,O[C:1](=[O:2])[C@@H:3]1[CH2:4][CH2:5][CH2:6][N:7]1[C:8](=[O:9])[O:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.[CH3:18][NH:19][CH3:20]>>[C:1](=[O:2])([C@@H:3]1[CH2:4][CH2:5][CH2:6][N:7]1[C:8](=[O:9])[O:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)[N:19]([CH3:18])[CH3:20]
32,Br[CH2:1][c:2]1[c:3]([O:4][c:5]2[c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]([CH2:12][C:13]([O:14][CH2:15][CH3:16])=[O:17])[cH:18]2)[cH:19][cH:20][c:21]([N+:22](=[O:23])[O-:24])[cH:25]1.[F:26][C:27]([F:28])([F:29])[CH2:30][SH:31]>>[CH2:1]([c:2]1[c:3]([O:4][c:5]2[c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]([CH2:12][C:13]([O:14][CH2:15][CH3:16])=[O:17])[cH:18]2)[cH:19][cH:20][c:21]([N+:22](=[O:23])[O-:24])[cH:25]1)[S:31][CH2:30][C:27]([F:26])([F:28])[F:29]
33,Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][n:10][cH:11][c:12]([Cl:13])[c:14]12.[CH3:15][C:16]([CH3:17])([CH3:18])[O:19][C:20](=[O:21])[NH:22][CH2:23][CH:24]1[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]1>>[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][n:10][cH:11][c:12]([Cl:13])[c:14]12)[N:27]1[CH2:26][CH2:25][CH:24]([CH2:23][NH:22][C:20]([O:19][C:16]([CH3:15])([CH3:17])[CH3:18])=[O:21])[CH2:29][CH2:28]1
34,Cl[c:1]1[cH:2][cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[cH:10][c:11]1[N+:12](=[O:13])[O-:14].[NH2:15][C@H:16]1[CH2:22][CH2:21][C@H:19]([OH:20])[CH2:18][CH2:17]1>>[c:1]1([NH:15][C@H:16]2[CH2:17][CH2:18][C@H:19]([OH:20])[CH2:21][CH2:22]2)[cH:2][cH:3][c:4]([C:5]([O:6][CH2:7][CH3:8])=[O:9])[cH:10][c:11]1[N+:12](=[O:13])[O-:14]
35,O=[C:1]1[CH2:2][CH2:3][N:4]([C:5]([CH3:6])=[O:7])[CH2:8][CH2:9]1.[CH3:10][O:11][c:12]1[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][c:20]([C:21]([F:22])([F:23])[F:24])[c:25]1[C:26](=[O:27])[NH:28][C@@H:29]1[CH2:30][CH2:31][CH2:32][CH2:33][C@@H:34]1[NH2:35]>>[CH:1]1([NH:35][C@@H:34]2[C@H:29]([NH:28][C:26]([c:25]3[c:12]([O:11][CH3:10])[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][c:20]3[C:21]([F:22])([F:23])[F:24])=[O:27])[CH2:30][CH2:31][CH2:32][CH2:33]2)[CH2:2][CH2:3][N:4]([C:5]([CH3:6])=[O:7])[CH2:8][CH2:9]1
36,Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1.[CH3:10][CH2:11][CH2:12][CH2:13][CH2:14][c:15]1[n:16][c:17]2[c:18]([NH2:19])[n:20][c:21]3[cH:22][cH:23][cH:24][cH:25][c:26]3[c:27]2[n:28]1[CH2:29][CH2:30][CH2:31][CH2:32][NH2:33]>>[S:1](=[O:2])(=[O:3])([c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[NH:33][CH2:32][CH2:31][CH2:30][CH2:29][n:28]1[c:15]([CH2:14][CH2:13][CH2:12][CH2:11][CH3:10])[n:16][c:17]2[c:18]([NH2:19])[n:20][c:21]3[cH:22][cH:23][cH:24][cH:25][c:26]3[c:27]12
37,O[C:1]([c:2]1[cH:3][c:4](-[c:5]2[c:6]3[c:7](=[O:8])[n:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]([CH3:16])[CH3:17])[c:18]3[n:19][n:20]2[CH2:21][c:22]2[cH:23][nH:24][c:25]3[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]23)[n:32]([CH3:33])[cH:34]1)=[O:35].[CH3:36][CH:37]([CH3:38])[NH:39][CH2:40][CH2:41][NH2:42]>>[C:1]([c:2]1[cH:3][c:4](-[c:5]2[c:6]3[c:7](=[O:8])[n:9]([CH3:10])[c:11](=[O:12])[n:13]([CH2:14][CH:15]([CH3:16])[CH3:17])[c:18]3[n:19][n:20]2[CH2:21][c:22]2[cH:23][nH:24][c:25]3[cH:26][cH:27][c:28]([Cl:29])[cH:30][c:31]23)[n:32]([CH3:33])[cH:34]1)(=[O:35])[NH:42][CH2:41][CH2:40][NH:39][CH:37]([CH3:36])[CH3:38]
38,Cl[CH2:1][CH2:2][CH2:3][N:4]1[CH2:15][CH2:14][N:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:6][CH2:5]1.[O:24]=[C:25]1[NH:26][C:27](=[O:28])[C:29]([c:36]2[cH:41][cH:40][cH:39][cH:38][cH:37]2)([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[NH:42]1>>[CH2:1]([CH2:2][CH2:3][N:4]1[CH2:5][CH2:6][N:7]([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[CH2:14][CH2:15]1)[N:26]1[C:25](=[O:24])[NH:42][C:29]([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)([c:36]2[cH:37][cH:38][cH:39][cH:40][cH:41]2)[C:27]1=[O:28]
39,Cl[C:1]([CH3:2])=[O:3].[CH3:4][c:5]1[cH:6][cH:7][cH:8][cH:9][c:10]1[OH:11]>>[C:1]([CH3:2])(=[O:3])[O:11][c:10]1[c:5]([CH3:4])[cH:6][cH:7][cH:8][cH:9]1
40,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])OC(OC(C)(C)C)=O.[CH3:8][NH:9][C@H:10]1[CH2:11][CH2:12][C@@H:13]([c:14]2[cH:15][cH:16][c:17]([Cl:18])[c:19]([Cl:20])[cH:21]2)[c:22]2[cH:23][cH:24][c:25]([C:26](=[O:27])[O:28][CH3:29])[cH:30][c:31]21>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:9]([CH3:8])[C@H:10]1[CH2:11][CH2:12][C@@H:13]([c:14]2[cH:15][cH:16][c:17]([Cl:18])[c:19]([Cl:20])[cH:21]2)[c:22]2[cH:23][cH:24][c:25]([C:26](=[O:27])[O:28][CH3:29])[cH:30][c:31]21
41,Cl[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])=[O:10].[CH3:11][O:12][CH2:13][O:14][c:15]1[cH:16][cH:17][c:18]([C:19]2([CH3:20])[CH2:21][O:22][c:23]3[cH:24][c:25]([O:26][CH2:27][O:28][CH3:29])[cH:30][cH:31][c:32]3[CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][CH2:38][CH2:39][CH2:40][CH2:41][OH:42])[cH:43][cH:44]1>>[S:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)(=[O:9])(=[O:10])[O:42][CH2:41][CH2:40][CH2:39][CH2:38][CH2:37][CH2:36][CH2:35][CH2:34][CH:33]1[C:19]([c:18]2[cH:17][cH:16][c:15]([O:14][CH2:13][O:12][CH3:11])[cH:44][cH:43]2)([CH3:20])[CH2:21][O:22][c:23]2[cH:24][c:25]([O:26][CH2:27][O:28][CH3:29])[cH:30][cH:31][c:32]21
42,O[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([S:7]([NH:8][c:9]2[c:10]([CH3:11])[cH:12][cH:13][c:14]([C:15](=[O:16])[N:17]3[CH2:18][CH2:19][CH:20]([c:21]4[cH:22][cH:23][c:24]([C:25]#[N:26])[cH:27][cH:28]4)[CH2:29][CH2:30]3)[cH:31]2)(=[O:32])=[O:33])[cH:34]1)=[O:35].[CH3:36][NH:37][CH3:38]>>[C:1]([c:2]1[cH:3][cH:4][cH:5][c:6]([S:7]([NH:8][c:9]2[c:10]([CH3:11])[cH:12][cH:13][c:14]([C:15](=[O:16])[N:17]3[CH2:18][CH2:19][CH:20]([c:21]4[cH:22][cH:23][c:24]([C:25]#[N:26])[cH:27][cH:28]4)[CH2:29][CH2:30]3)[cH:31]2)(=[O:32])=[O:33])[cH:34]1)(=[O:35])[N:37]([CH3:36])[CH3:38]
43,Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[N:11]#[C:12][CH:13]1[CH2:14][CH2:15][NH:16][CH2:17][CH2:18]1>>[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[N:16]1[CH2:15][CH2:14][CH:13]([C:12]#[N:11])[CH2:18][CH2:17]1
44,Cl[c:1]1[n:2][c:3]([S:4][CH2:5][CH3:6])[c:7]([C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][c:16]([F:17])[cH:18]2)[c:19]([CH3:20])[cH:21]1.[OH:22][CH2:23][C@H:24]1[CH2:25][O:26][CH2:27][CH2:28][NH:29]1>>[c:1]1([N:29]2[C@@H:24]([CH2:23][OH:22])[CH2:25][O:26][CH2:27][CH2:28]2)[n:2][c:3]([S:4][CH2:5][CH3:6])[c:7]([C:8](=[O:9])[NH:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][c:16]([F:17])[cH:18]2)[c:19]([CH3:20])[cH:21]1
45,[CH3:1][C:2]1([CH3:3])[C@:4]2([C:5](=[O:6])[NH:7][c:8]3[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]3[C:15](=[O:16])[C:17]([F:18])([F:19])[F:20])[CH2:21][CH2:22][C@@:23]1([CH3:24])[C:25](=[O:26])[O:27]2.[CH:28]#[C:29][CH:30]1[CH2:31][CH2:32]1>>[CH3:1][C:2]1([CH3:3])[C@:4]2([C:5](=[O:6])[NH:7][c:8]3[cH:9][cH:10][c:11]([Cl:12])[cH:13][c:14]3[C@:15]([OH:16])([C:17]([F:18])([F:19])[F:20])[C:28]#[C:29][CH:30]3[CH2:31][CH2:32]3)[CH2:21][CH2:22][C@@:23]1([CH3:24])[C:25](=[O:26])[O:27]2
47,[CH3:1][NH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH2:8])[c:9]1[C:10]#[N:11].[O:12]=[C:13]=[N:14][C:15](=[O:16])[c:17]1[cH:22][cH:21][cH:20][cH:19][cH:18]1>>[CH3:1][NH:2][c:3]1[cH:4][cH:5][cH:6][c:7]([NH:8][C:13](=[O:12])[NH:14][C:15](=[O:16])[c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[c:9]1[C:10]#[N:11]
48,Cl[S:1](=[O:2])(=[O:3])[CH2:4][c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1.[CH3:12][C:13]1=[C:14]([C:15]#[N:16])[CH:17]([c:18]2[cH:19][cH:20][c:21]3[c:22]([cH:23]2)[c:24]([NH2:25])[n:26][n:27]3[C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[C:35]([C:36]#[N:37])=[C:38]([CH3:39])[NH:40]1>>[S:1](=[O:2])(=[O:3])([CH2:4][c:5]1[cH:6][cH:7][c:8]([F:9])[cH:10][cH:11]1)[NH:25][c:24]1[c:22]2[c:21]([cH:20][cH:19][c:18]([CH:17]3[C:14]([C:15]#[N:16])=[C:13]([CH3:12])[NH:40][C:38]([CH3:39])=[C:35]3[C:36]#[N:37])[cH:23]2)[n:27]([C:28](=[O:29])[O:30][C:31]([CH3:32])([CH3:33])[CH3:34])[n:26]1
